StationId,StationName,AdminRegion,Depth,CHLa23,CHLa24,TN23,TN24,TP23,TP24,CHLaLTM,TPLTM,slope_CHLa,MAD_CHLa,pval_CHLa,slope_TN,MAD_TN,pval_TN,slope_TP,MAD_TP,pval_TP
2-SPE001.18,NA,TRO,0.3,NA,29.08,NA,NA,NA,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-STG000.21,NA,PRO,0.3,NA,21.189,NA,0.543,NA,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-STG000.91,NA,PRO,0.3,NA,24.502,NA,0.53,NA,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-TRH000.40,THRASHERS CREEK RESERVOIR-STA 100' FROM,SCRO,0.3,16.778,19.198,0.734,0.56,0.042,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-XLU000.10,LAKE NELSON - NEAR DAM,VRO,0.3,18.514,30.88,0.862,0.946,0.03,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-XLW000.60,NA,PRO,0.3,NA,9.454,NA,0.688,NA,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4ACRR008.32,STATION #1 AT DAM - PITTSYLVANIA COUNTY,SCRO,0.3,8.054,10.58,0.398,NA,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5ANTW127.14,NA,PRO,0.3,NA,26.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6APNK001.26,NA,SWRO,0.3,NA,2.124,NA,0.14200000000000002,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7-LAS000.06,STA #1 - 200 SOUTH OF RT. 13 BRIDGE,NA,0.3,77.9,NA,1.616,NA,0.14400000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7-LTR000.04,"STA #2 - MIDLAKE, 200 M SOUTH OF RT. 60",NA,0.3,93.92,NA,1.834,NA,0.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8-CLC003.48,LAKE ORANGE- 100' From Dam,NVRO,0.3,12.088,16.567500000000003,0.63,0.65,0.028,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8-NIR012.99,NI RESERVOIR -  100' from Spillway,NVRO,0.3,17.84,23.37,0.662,NA,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8-NTH003.92,NA,NVRO,0.3,NA,3.635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-XBL000.20,RURAL RETREAT LAKE - STA #1 DAM (WYTHE C,SWRO,0.3,9.246,8.144,0.494,0.566,0.028,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
